"street","av_lat","av_long"
"Abbey Orchard Street",51.49777913,-0.13242858
"Abercorn Place",51.5324203333333,-0.180999483333333
"Aberdeen Place",51.5248498,-0.17650827
"Acacia Road",51.536283095,-0.17086925
"Adam Street",51.50962556,-0.12210778
"Adelphi Terrace",51.50903092,-0.12179693
"Agar Street",51.50973094,-0.12432933
"Albemarle Street",51.5095335875,-0.14243142
"Albion Street",51.51397825,-0.16687831
"Alderney Street",51.489401705,-0.1435007425
"Aldford Street",51.50879546,-0.15251588
"Aldridge Road Villas",51.51876305,-0.19989079
"Aldwych",51.512641685,-0.11728989
"Alexander Street",51.51495242,-0.1743076
"Alfred Road",51.52131447,-0.19364467
"Allington Street",51.49715052,-0.14288397
"Allsop Place",51.52395914,-0.15795892
"Alma Square",51.531551665,-0.180271545
"Alperton Street",51.52688177,-0.20679004
"Amberley Road",51.52267031,-0.19364487
"Ambrosden Avenue",51.495702425,-0.13888553
"Andover Place",51.53329089,-0.18873088
"Aquila Street",51.53453624,-0.17076824
"Arlington Street",51.5066195,-0.14042674
"Arneway Street",51.49518939,-0.13189529
"Artesian Road",51.515626015,-0.197054805
"Artillery Row",51.49669558,-0.13577867
"Arundel Street",51.511860255,-0.114024695
"Ashbridge Street",51.52400893,-0.1690311
"Ashmore Road",51.53034198,-0.2035038
"Ashworth Road",51.52920663,-0.18694777
"Atterbury Street",51.4905757933333,-0.12801895
"Aybrook Street",51.5194377,-0.15311594
"Aylesford Street",51.48858944,-0.13411389
"Baker Street",51.520212325,-0.15673902
"Balcombe Street",51.52339437,-0.161996673333333
"Balderton Street",51.51359858,-0.15235333
"Balfour Place",51.50914986,-0.15252825
"Barfett Street",51.52785821,-0.20615982
"Bark Place",51.51141715,-0.18952741
"Barrett Street",51.51495002,-0.15121171
"Barrow Hill Road",51.53253166,-0.16894134
"Bathurst Street",51.51280459,-0.17482492
"Beaumont Street",51.5213474675,-0.1508349725
"Bedford Street",51.510281505,-0.12402378
"Beeston Place",51.49774695,-0.14573309
"Beethoven Street",51.53148674,-0.208835395
"Belgrave Gardens",51.53720707,-0.18406918
"Belgrave Place",51.4968679366667,-0.15164295
"Belgrave Road",51.49097269,-0.139454374
"Belgrave Square",51.500502752,-0.153402574
"Bell Street",51.52115236,-0.168471856666667
"Berkeley Square",51.509892004,-0.145923482
"Berkeley Street",51.50797615,-0.14297363
"Berners Street",51.5173211066667,-0.13675653
"Bernhardt Crescent",51.52548193,-0.16927927
"Berwick Street",51.514924155,-0.136086065
"Bingham Place",51.52164491,-0.15368236
"Binney Street",51.5138716,-0.15054995
"Bishop's Bridge Road",51.51623281,-0.17780598
"Blandford Street",51.518051772,-0.156329992
"Bledlow Close",51.52462175,-0.17156288
"Blenheim Road",51.53562954,-0.180670085
"Blenheim Terrace",51.53507713,-0.18209593
"Blomfield Road",51.5225761925,-0.1825609325
"Blomfield Villas",51.52016709,-0.18557533
"Bloomburg Street",51.49238051,-0.13608179
"Bloomfield Terrace",51.499873055,-0.155044865
"Bolsover Street",51.52230923,-0.143060935
"Bolton Street",51.50718527,-0.14454707
"Boscobel Street",51.522945655,-0.173222205
"Boundary Road",51.5385914925,-0.1808066175
